Ge_X,Ge_Y,Si_X,Si_Y,GaAs_X,GaAs_Y,,
2.093186362,2.84E+15,2.090553667,1.34E+13,2.094063927,1.46E+11,,
2.184891891,1.99E+15,2.176993807,7.97E+12,2.187963368,77146871471,,
2.265847251,1.42E+15,2.266834511,4.76E+12,2.292393588,39896222438,,
2.362598778,9.53E+14,2.356675215,2.82E+12,2.38629303,21244928957,,
2.464396303,6.29E+14,2.446515919,1.65E+12,2.481070036,11242990922,,
2.556101833,4.33E+14,2.534100028,9.74E+11,2.579796084,6000648347,,
2.637057192,3.10E+14,2.616465759,5.96E+11,2.684445695,2951806530,,
2.732931155,2.11E+14,2.713076249,3.38E+11,2.773299139,1666071276,,
2.835606245,1.39E+14,2.802916953,1.99E+11,2.86719858,898247110.3,,
2.927311774,9.64E+13,2.891770397,1.19E+11,2.966802193,469575612.7,,
3.008267134,6.94E+13,2.98062384,7.02E+10,,,,
3.105018661,4.65E+13,3.070464544,4.10E+10,,,,
3.206816186,3.04E+13,3.161292508,24482195480,,,,
3.296829269,2.12E+13,3.249440766,14465860391,,,,
3.379477075,1.52E+13,3.343089474,8320589614,,,,
3.476228602,1.04E+13,3.437725444,4698681163,,,,
3.578026128,6.83E+12,3.527566147,2789010661,,,,
3.664795355,4.83E+12,3.617406851,1655481655,,,,
3.750687017,3.40E+12,3.706589382,956681839.4,,,,
