Line,Mole Fraction NiO,Mole Fraction MgO,Temperature (Celsius)
Solidus,99.74538511,0.254614895,1914.344783
Solidus,74.02928071,25.97071929,2060.286315
Solidus,50.60471038,49.39528962,2250.294489
Solidus,25.01591343,74.98408657,2522.658284
Solidus,12.53978358,87.46021642,2664.526521
Solidus,0.318268619,99.68173138,2795.034738
Liquidus,0.318268619,99.68173138,2795.034738
Liquidus,15.72246976,84.27753024,2734.174003
Liquidus,38.00127307,61.99872693,2595.285917
Liquidus,53.78739656,46.21260344,2461.987425
Liquidus,69.82813495,30.17186505,2314.488003
Liquidus,81.92234246,18.07765754,2198.182523
Liquidus,94.27116486,5.728835137,2022.221569
Liquidus,99.74538511,0.254614895,1914.344783
