Strain,Stress (MPa)
0.00E+00,0
0.000695652,153.5776614
0.001206941,265.9321725
0.001892109,413.9722633
0.002577276,559.2191448
0.003262444,704.4660263
0.003947612,852.5061171
0.004632779,1000.546208
0.005317947,1145.793089
0.006003115,1291.039971
0.007202158,1435.169569
0.009600245,1555.463781
0.013026084,1660.251449
0.016794506,1737.445596
0.020142006,1790.439734
0.02433135,1839.016842
0.028099773,1873.551066
0.031868195,1899.95959
0.035636617,1920.781695
0.03940504,1935.001669
0.043173462,1944.143081
0.046941884,1950.237356
0.050710307,1949.7295
0.054478729,1943.127369
0.058247151,1933.478101
0.062015574,1918.242414
0.065783996,1895.388883
0.069552418,1866.441078
0.07332084,1827.336149
0.076864187,1776.504181
